id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
41	a blumle	-0.6233	-0.5026	26	5	8	6	80	3.4502	2010.8333	13.3333	0.575
320	a mottrie	0.9964	-1.1052	5	13	34	6	1400	28.3195	2014.6667	233.3333	4.7199
1121	adrienne stevens	-0.1671	0.1594	3	13	28	6	102	18.3612	2017.8333	17	3.0602
1278	ahmed m abousetta	-0.1846	0.0838	3	4	4	5	82	5.0005	2018.6	16.4	1.0001
1359	aileen clarke	-0.6184	0.3566	8	2	5	5	142	3.89	2013.2	28.4	0.778
1448	ajoke sobanjoter meulen	0.9023	-0.0131	14	16	91	7	439	24.0932	2016.8571	62.7143	3.4419
1526	alaa awadalla	1.0975	0.2703	22	16	98	9	188	4.5251	2011.7778	20.8889	0.5028
1542	alain gagnon	0.6517	0.7109	21	17	100	10	463	11.1959	2012.7	46.3	1.1196
1547	alain mayhew	-0.1567	0.1017	3	13	16	5	134	8.7752	2014.8	26.8	1.755
1552	alain saraux	0.0197	-0.3618	2	3	6	6	39	3.6743	2018	6.5	0.6124
1581	alan d kaye	-0.8185	-0.0275	24	2	6	5	45	4.573	2017.4	9	0.9146
1675	alba dicenso	0.0852	-0.143	2	3	5	5	471	6.3652	2006.8	94.2	1.273
1727	alberto briganti	0.9279	-0.994	5	13	18	7	482	21.5822	2017.2857	68.8571	3.0832
1933	alessandro antonelli	1.0344	-0.9702	5	8	14	5	37	12.0583	2019.6	7.4	2.4117
1989	alessandro volpe	0.8877	-0.9406	5	13	22	5	2421	45.5308	2016.8	484.2	9.1062
2050	alex j sutton	-0.4636	-0.1422	1	7	16	10	2843	30.2554	2005.8	284.3	3.0255
2150	alexander j stratigos	0.0317	0.739	18	5	21	6	737	41.3464	2015.5	122.8333	6.8911
2174	alexander nast	-0.0102	0.7064	18	2	3	5	328	8.7951	2013	65.6	1.759
2357	alexis f turgeon	-0.5573	0.4342	17	2	2	5	52	2.5722	2017	10.4	0.5144
2388	alfonso iorio	-0.1536	-0.124	4	4	5	5	97	1.554	2015.2	19.4	0.3108
2520	alice h lichtenstein	0.0728	0.3597	6	7	13	5	220	6.4472	2012.4	44	1.2894
2656	alison eastwood	-0.4976	-0.1003	1	6	10	8	399	5.6502	2015.875	49.875	0.7063
