id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	thomas connolly (2012)	"<table><tr><td>Authors:</td><td>thomas connolly; elizabeth boyle; ewan macarthur; thomas hainey; james boyle</td></tr><tr><td>Title:</td><td>a systematic literature review of empirical evidence on computer games and serious games</td></tr><tr><td>Source:</td><td>computers in education, 59(2), 661-686</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1016/j.compedu.2012.03.004	-0.3924	-0.2795	14	7	1212	26.5749	2012	1212	26.5749
3	alessandra marengoni (2011)	"<table><tr><td>Authors:</td><td>alessandra marengoni; sara angleman; rene j f melis; francesca mangialasche; anita karp; annika garmen; bettina meinow; laura fratiglioni</td></tr><tr><td>Title:</td><td>aging with multimorbidity: a systematic review of the literature</td></tr><tr><td>Source:</td><td>ageing research reviews, 10(4), 430-439</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1016/j.arr.2011.03.003	0.5925	-0.641	13	4	1195	21.9063	2011	1195	21.9063
5	amika s singh (2008)	"<table><tr><td>Authors:</td><td>amika s singh; christiaan mulder; jos w r twisk; w van mechelen; mai j m chinapaw</td></tr><tr><td>Title:</td><td>tracking of childhood overweight into adulthood: a systematic review of the literature</td></tr><tr><td>Source:</td><td>obesity reviews, 9(5), 474-488</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1111/j.1467-789x.2008.00475.x	0.8336	-0.9246	28	8	1600	17.0587	2008	1600	17.0587
6	barbara kitchenham (2009)	"<table><tr><td>Authors:</td><td>barbara kitchenham; o pearl brereton; david budgen; mark turner; john bailey; stephen linkman</td></tr><tr><td>Title:</td><td>systematic literature reviews in software engineering - a systematic literature review</td></tr><tr><td>Source:</td><td>information & software technology, 51(1), 7-15</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/10.1016/j.infsof.2008.09.009	0.331	0.0071	16	70	1290	17.9397	2009	1290	17.9397
11	yongxin liao (2017)	"<table><tr><td>Authors:</td><td>yongxin liao; fernando deschamps; eduardo de freitas rocha loures; luiz felipe pierin ramos</td></tr><tr><td>Title:</td><td>past, present and future of industry 4.0 - a systematic literature review and research agenda proposal</td></tr><tr><td>Source:</td><td>international journal of production research, 55(12), 3609-3629</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1080/00207543.2017.1308576	-0.8504	-0.3872	6	6	500	34.035	2017	500	34.035
16	fran casino (2019)	"<table><tr><td>Authors:</td><td>fran casino; thomas k dasaklis; constantinos patsakis</td></tr><tr><td>Title:</td><td>a systematic literature review of blockchain-based applications: current status, classification and open issues</td></tr><tr><td>Source:</td><td>telematics and informatics, 36, 55-81</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1016/j.tele.2018.11.006	0.6963	0.3616	25	2	248	52.7366	2019	248	52.7366
21	marco conoscenti (2016)	"<table><tr><td>Authors:</td><td>marco conoscenti; antonio vetro; juan carlos de martin</td></tr><tr><td>Title:</td><td>blockchain for the internet of things: a systematic literature review</td></tr><tr><td>Source:</td><td>acs/ieee international conference on computer systems and applications, 1-6</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1109/aiccsa.2016.7945805	0.6942	0.3484	25	3	262	14.3327	2016	262	14.3327
22	pearl brereton (2007)	"<table><tr><td>Authors:</td><td>pearl brereton; barbara kitchenham; david budgen; mark turner; mohamed khalil</td></tr><tr><td>Title:</td><td>lessons from applying the systematic literature review process within the software engineering domain</td></tr><tr><td>Source:</td><td>journal of systems and software, 80(4), 571-583</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	https://doi.org/10.1016/j.jss.2006.07.009	0.4389	0.0437	16	78	1004	11.0042	2007	1004	11.0042
24	mary crossan (2010)	"<table><tr><td>Authors:</td><td>mary crossan; marina apaydin</td></tr><tr><td>Title:</td><td>a multi-dimensional framework of organizational innovation: a systematic review of the literature</td></tr><tr><td>Source:</td><td>journal of management studies, 47(6), 1154-1191</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/10.1111/j.1467-6486.2009.00880.x	-0.5921	0.114	10	13	1349	19.3857	2010	1349	19.3857
27	tracy hall (2012)	"<table><tr><td>Authors:</td><td>tracy hall; sarah beecham; david bowes; david gray; steve counsell</td></tr><tr><td>Title:</td><td>a systematic literature review on fault prediction performance in software engineering</td></tr><tr><td>Source:</td><td>ieee transactions on software engineering, 38(6), 1276-1304</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1109/tse.2011.103	0.7307	0.2885	25	2	520	11.4018	2012	520	11.4018
