id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	20th century	-0.5894	-0.4211	1	94	120	15	2014.2	18.2667	2.1853
2	21st century	-0.5901	-0.3247	1	380	616	71	2015.9437	2.9155	0.6234
3	4th industrial revolution	-0.5722	-0.3492	1	78	91	13	2019.3846	0.6154	0.3756
4	5g network	-0.1192	-0.3898	1	106	148	21	2019	12.8095	2.0217
5	aaai	-0.5627	-0.44	1	137	202	21	2007.381	4.6667	0.53
6	aacr	-0.2372	1.1134	3	216	433	14	2019.1429	0.7857	0.111
7	abc	0.7296	-0.2361	2	221	335	26	2017.4615	4.5769	1.1373
8	abnormality	0.1159	0.6905	3	481	948	61	2016.7049	13.5246	6.2447
9	absolute error	1.4346	-0.2286	2	445	1217	56	2017.8214	15.0536	3.7202
10	absolute percentage error	1.4591	-0.3544	2	275	604	27	2017.4444	32.2593	3.6993
11	absorption	0.6299	0.1221	4	149	222	20	2016.9	3.45	0.9191
12	abstract null null background	0.1489	1.0821	3	293	497	24	2019.3333	11.125	9.0029
13	abstract null null purpose	0.1802	0.9526	3	128	161	10	2019.5	3.5	0.9999
14	abstraction	-0.2435	-0.4849	1	267	401	47	2005.4681	13.0213	1.3524
15	academia	-0.4066	-0.2724	1	397	607	69	2015.4783	10.5072	1.7009
16	academic	-0.6388	-0.2418	1	252	361	39	2013.7949	3.7692	0.7628
17	academic community	-0.6134	-0.2998	1	82	95	11	2015.9091	1.2727	0.1403
18	academic literature	-0.4168	-0.2686	1	99	117	13	2018.9231	3.3077	2.0511
19	academic research	-0.4643	-0.3028	1	95	113	15	2017.5333	2.6	0.8913
20	accelerometer	0.5955	-0.1796	2	119	156	15	2017.6	0.8667	0.193
21	acceptable accuracy	0.7242	0.5584	3	134	184	11	2012.6364	12.8182	4.4093
22	acceptable level	0.4036	-0.2643	2	100	114	10	2015.5	5.4	0.6342
23	accomplishment	-0.2888	-0.446	1	229	298	28	2003.1071	13.9286	1.9009
24	accountability	-0.7866	-0.1369	1	458	872	67	2017.6716	9.4925	5.1317
25	accuracy	0.408	0.4405	3	2226	17200	1226	2017.2863	8.5228	1.839
26	accuracy level	0.7487	0.34	2	175	233	15	2015.4667	9.4	2.0412
27	accuracy rate	0.4493	0.4788	3	296	487	35	2017.9143	2.8571	0.5512
