id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
35	abatacept	-1.2291	0.5777	6	53	232	28	2015.8571	56.4643	1.7741
51	abdominal pain	-1.0375	-0.1902	2	92	251	43	2016.9767	11.2093	0.6525
52	abdominal surgery	-0.9475	-0.3369	2	95	330	52	2016.6731	20.5192	1.0721
54	abdominal wall	-1.0938	-0.4249	2	45	94	18	2018.0556	4.8333	0.478
73	abortion	-0.267	0.5603	2	72	169	25	2015.08	29.68	0.9502
78	absenteeism	-0.0797	0.305	5	91	207	28	2013.8214	61.6786	1.1656
82	absolute risk reduction	-0.7991	0.372	2	65	145	21	2014.6667	34	1.0855
92	academic achievement	0.411	0.2095	3	78	145	25	2016.44	46.92	1.5373
124	accountability	0.9196	0.0588	1	63	118	21	2018.0952	8.3333	1.2589
125	accounting	0.9713	0.0838	1	99	330	88	2018.5114	4.6591	0.6505
134	acculturation	0.5524	0.5094	3	55	108	18	2016.2222	16.0556	0.7553
174	acquired immunodeficiency syndrome	0.0255	0.3969	3	172	497	69	2014.1449	24.6087	0.816
220	activities of daily living	-0.0859	-0.176	3	165	508	69	2015.1739	46.9855	1.2482
221	activity based costing	0.4642	-0.1195	1	64	107	18	2016.5	17.1111	1.1795
231	actuarial science	0.4112	-0.0244	1	150	396	77	2015.6883	16.7792	0.6697
235	acupuncture	-0.4873	-0.3212	5	57	179	31	2012.7097	31.5484	0.5709
242	acute care	-0.0063	0.0722	4	82	169	24	2015.1667	26.9583	0.9052
247	acute coronary syndrome	-0.9549	0.0153	2	45	125	19	2016.4737	8.2105	0.3529
286	adalimumab	-1.1804	0.6046	6	61	355	45	2015.4222	43.4667	1.3368
302	added value	0.7341	-0.0282	1	77	108	16	2017.25	9.0625	0.9238
304	addiction	0.1489	0.2133	3	84	191	29	2016.069	24.5517	1.3887
313	adenocarcinoma	-1.2445	-0.1564	2	89	279	39	2014.1282	28.9744	0.7207
342	adjuvant	-1.0865	-0.1084	2	64	165	24	2016.25	22.9167	0.984
346	adjuvant therapy	-1.0479	-0.1144	2	82	185	26	2015.4231	16.3077	0.6714
388	adult patients	-0.3561	-0.0593	4	130	296	47	2015.9574	17.1064	0.8656
392	advance care planning	0.2906	0.0713	4	49	127	17	2016.6471	26	1.1234
412	adverse effect	-0.8125	0.1962	6	356	1992	304	2015.602	29.1447	1.1652
417	advertising	0.9277	0.2446	1	63	128	28	2016.0714	16.6071	1.0839
427	affect	0.3647	0.2351	3	66	131	22	2016.5	87.5	2.8803
457	age groups	-0.2191	0.1339	3	61	109	18	2016.0556	28.8889	1.0767
467	aggression	0.1435	0.7013	3	51	122	18	2016.8333	16	0.846
477	agile software development	1.3755	-0.2911	1	109	604	103	2017.3204	12.5437	0.6291
478	agile unified process	1.4931	-0.3348	1	27	114	15	2015.3333	44.4667	1.8253
479	agile usability engineering	1.4677	-0.3107	1	32	150	20	2014.9	40.25	1.6152
493	agriculture	0.9439	0.1094	1	103	229	43	2018.3721	10.9535	1.5511
614	alternative medicine	-0.0081	0.001	4	481	3561	534	2012.8914	33.7996	0.8043
648	ambulatory	-0.5831	-0.1032	2	57	107	17	2015.0588	30.2941	0.8432
650	ambulatory care	0.0592	-0.1759	4	106	246	33	2014.1212	32.3333	1.1119
692	amputation	-0.5378	-0.449	5	83	190	30	2015.4667	44.6333	1.0218
719	analgesic	-0.5954	-0.0264	4	50	105	18	2013.0556	43.8889	0.7419
738	analytics	1.0164	-0.3616	1	82	234	43	2018.5116	8.5814	1.9484
748	anastomosis	-1.091	-0.3213	2	66	182	33	2016.1212	31	0.7798
760	anatomy	-0.5947	-0.588	5	44	86	27	2015.4444	18.5556	0.8121
775	anemia	-0.6843	0.1835	2	84	188	29	2013.6552	68.6897	0.8127
779	anesthesia	-0.7314	-0.0494	2	186	806	167	2013.9461	38.012	0.7909
785	aneurysm	-0.9508	-0.3654	2	89	305	57	2015.8947	16.1579	0.8268
799	angiography	-0.9642	-0.1963	2	62	111	18	2014.2778	20.6111	0.9658
830	animal studies	-0.6323	-0.0636	2	54	98	20	2015.9	24.35	1.0484
839	ankle	-0.5965	-0.6275	5	75	247	44	2014.1136	46.1591	0.8924
848	ankylosing spondylitis	-0.8952	0.5469	6	77	235	32	2015.4062	27.5625	0.8007
863	anorexia	-0.583	0.2605	2	49	100	15	2016.1333	26	1.4264
881	anterior cruciate ligament	-0.515	-0.6219	5	67	202	36	2015.4444	39.0556	1.6438
883	anterior cruciate ligament reconstruction	-0.4954	-0.6842	5	38	105	17	2014.7059	58.4706	1.7564
912	anthropometry	-0.3087	0.3402	8	75	148	20	2015.8	31.7	0.8967
944	antibiotic resistance	-0.1891	0.0271	7	52	118	21	2016.4286	16.7143	0.8421
947	antibiotics	-0.4635	-0.0071	7	84	251	52	2015.4038	22.5962	0.6927
973	antimicrobial	-0.2429	0.0857	7	39	91	21	2016.7143	7.1905	0.7981
980	antiphospholipid syndrome	-0.8878	0.18	2	53	107	15	2017.6	54.8667	1.259
1004	anxiety	-0.0534	0.3694	3	238	1118	158	2015.8608	34.519	1.1764
1077	applied psychology	0.53	0.0986	3	279	1270	226	2016.8496	25.4912	1.2372
1116	architecture	1.1868	-0.3536	1	84	266	48	2017.9167	7.5417	0.787
1178	arthritis	-0.9753	0.2714	6	157	673	86	2014.8023	38.0116	0.9311
1181	arthrodesis	-0.7424	-0.6678	5	46	135	23	2015.2609	51.913	0.9976
1184	arthroplasty	-0.5458	-0.573	5	116	479	75	2014.84	50.32	1.1585
1189	arthroscopy	-0.6384	-0.6232	5	64	187	36	2015.5278	24.7778	0.6854
1203	artificial intelligence	0.7559	-0.4526	1	207	904	190	2018.6789	12.7211	1.4385
1205	artificial neural network	0.8208	-0.5021	1	53	148	29	2018.7931	7.5517	0.9017
1258	assessment methods	0.3099	-0.1905	1	85	136	22	2016.0909	25.9545	1.5122
1275	asthma	-0.4407	0.3116	6	116	388	63	2014.873	25.2857	1.1562
1291	asymptomatic	-0.833	-0.2301	2	148	409	73	2015.7123	34.2055	1.0232
1307	athletes	-0.0304	-0.3643	5	96	259	39	2016.3077	21.8718	1.0321
1321	atrial fibrillation	-0.9735	0.1769	2	60	223	35	2015.3143	26.0571	0.8806
1336	attendance	0.3151	0.33	8	82	175	23	2015	58.6957	1.4623
1339	attention deficit hyperactivity disorder	-0.1173	0.3974	3	93	248	41	2015.9024	27.7073	1.0763
1360	audiology	-0.2842	-0.1867	3	80	189	41	2015.2439	24.5122	0.9871
1364	audit	0.657	0.0424	1	78	114	19	2016.8947	27.3684	1.1456
1378	augmented reality	0.935	-0.2374	1	71	163	35	2018.9429	16.4857	2.3051
1392	autism	0.3593	0.1689	3	129	468	76	2016.3816	24.8947	1.0368
1394	autism spectrum disorder	0.327	0.1893	3	108	392	66	2017.697	18.4394	1.173
1396	autoantibody	-1.1267	0.3217	6	58	132	20	2016.3	36.1	1.0613
1431	automation	1.1172	-0.3801	1	79	190	35	2017.7714	11.6571	1.1207
1435	automotive industry	1.1635	-0.184	1	57	115	21	2018.381	9.619	1.0977
1443	autonomy	0.5613	0.0614	1	113	242	37	2016.7297	19.5946	1.1395
1500	back pain	-0.477	-0.4242	5	91	239	34	2013.7353	58.7059	1.5496
